med dm gdmv gdma gv ga xsec unc
1800 1 1 0 0.25 0 0.018851929 2.6452244e-05
1800 1 0 0.001 0 0.25 4.61297233118e-08 6.0931603835e-11
1800 1 0 0.005 0 0.25 1.15320477902e-06 1.52398988833e-09
1800 1 0 0.01 0 0.25 4.61234221719e-06 6.10470382642e-09
1800 1 0 0.03 0 0.25 4.14653378684e-05 5.57771478939e-08
1800 1 0 0.05 0 0.25 0.000114928257839 1.59504650567e-07
1800 1 0 0.07 0 0.25 0.000224518991543 3.25722852639e-07
1800 1 0 0.12 0 0.25 0.000651339000158 1.09839774357e-06
1800 1 0 0.14 0 0.25 0.00088035995484 1.59052356148e-06
1800 1 0 0.16 0 0.25 0.00114067887154 2.21092060819e-06
1800 1 0 0.18 0 0.25 0.00143073159874 2.97362304236e-06
1800 1 0 0.1 0 0.25 0.000455024403309 7.1886859589e-07
1800 1 0 0.225 0 0.25 0.00218311001888 5.26208097126e-06
1800 1 0 0.25 0 0.25 0.00265468137807 6.88990912981e-06
1800 1 0 0.275 0 0.25 0.00315970408064 8.76511110271e-06
1800 1 0 0.2 0 0.25 0.0017488231594 3.8898815961e-06
1800 1 0 0.3 0 0.25 0.00369428295346 1.0866311643e-05
1800 1 0 0.4 0 0.25 0.00605153364063 2.06985143006e-05
1800 1 0 0.5 0 0.25 0.00859191226848 3.00347091781e-05
1800 1 0 0.6 0 0.25 0.0111370807995 3.54279963869e-05
1800 1 0 0.7 0 0.25 0.0135693464617 3.55366069335e-05
1800 1 0 0.9 0 0.25 0.0178717357879 2.73002923097e-05
1800 1 0 1.0 0 0.01 5.46366958608e-05 7.35951937857e-08
1800 1 0 1.0 0 0.03 0.000487065034282 7.06010946479e-07
1800 1 0 1.0 0 0.05 0.00132778660831 2.16197152308e-06
1800 1 0 1.0 0 0.07 0.00253191027755 4.65396716798e-06
1800 1 0 1.0 0 0.1 0.00488645360237 1.02640528388e-05
1800 1 0 1.0 0 0.12 0.00672249602877 1.46634883724e-05
1800 1 0 1.0 0 0.14 0.0086931310849 1.88088810989e-05
1800 1 0 1.0 0 0.16 0.0107378393115 2.20420338987e-05
1800 1 0 1.0 0 0.18 0.0128052265371 2.39901693809e-05
1800 1 0 1.0 0 0.2 0.0148540345685 2.4738601862e-05
1800 1 0 1.0 0 0.225 0.0173420159635 2.49513876767e-05
1800 1 0 1.0 0 0.25 0.0197106194103 2.64521889553e-05
1800 1 0 1.0 0 0.275 0.0219354204416 3.22233970027e-05
1800 1 0 1.0 0 0.3 0.0240053357299 4.56268745126e-05
1800 1 0 1.0 0 0.4 0.0307884084321 0.000238834659183
1800 1 0 1.0 0 0.5 0.0356674886757 0.000763119823191
1800 1 0 1.0 0 0.75 0.043282584691 0.0038279788059
1800 1 0 1.0 0 1 0.0467981729079 0.00873400035664
1800 1 0 1.1 0 0.25 0.0213502668912 3.32754601978e-05
1800 1 0 1.3 0 0.25 0.0241045614187 8.33311900099e-05
1800 1 0 1.6 0 0.25 0.0272306590336 0.000281464060568
1800 1 0 2.0 0 0.25 0.0302239937452 0.000814933079503
1800 1 0.0005 0.0005 0.125 0.125 2.22337417617e-08 2.95682875097e-11
1800 1 0.001 0 0.25 0 4.61298343081e-08 6.09317498785e-11
1800 1 0.0025 0.0025 0.125 0.125 5.55825033276e-07 7.40390575627e-10
1800 1 0.005 0 0.25 0 1.15320755386e-06 1.52399354084e-09
1800 1 0.005 0.005 0.125 0.125 2.22306764368e-06 2.97634701767e-09
1800 1 0.015 0.015 0.125 0.125 1.99853089951e-05 2.82011722115e-08
1800 1 0.01 0 0.25 0 4.61235331565e-06 6.10471845409e-09
1800 1 0.025 0.025 0.125 0.125 5.53912691698e-05 8.61125942845e-08
1800 1 0.035 0.035 0.125 0.125 0.000108205919375 1.91256252916e-07
1800 1 0.03 0 0.25 0 4.14654376693e-05 5.57772812248e-08
1800 1 0.05 0 0.25 0 0.000114928534593 1.59505030065e-07
1800 1 0.05 0.05 0.125 0.125 0.000219278757352 4.84726673737e-07
1800 1 0.06 0.06 0.125 0.125 0.000313861136534 8.1062906549e-07
1800 1 0.07 0 0.25 0 0.000224519532601 3.25723622294e-07
1800 1 0.07 0.07 0.125 0.125 0.000424182586577 1.27723132834e-06
1800 1 0.08 0.08 0.125 0.125 0.000549555109024 1.91797478668e-06
1800 1 0.09 0.09 0.125 0.125 0.00068921449462 2.76648668374e-06
1800 1 0.1125 0.1125 0.125 0.125 0.00105130289237 5.59775898926e-06
1800 1 0.125 0.125 0.125 0.125 0.00127810514107 7.80952377916e-06
1800 1 0.12 0 0.25 0 0.000651340574437 1.09840027267e-06
1800 1 0.1375 0.1375 0.125 0.125 0.00152085591707 1.05255314881e-05
1800 1 0.14 0 0.25 0 0.000880362086095 1.59052717423e-06
1800 1 0.15 0.15 0.125 0.125 0.0017776418359 1.37658567461e-05
1800 1 0.16 0 0.25 0 0.00114068132032 2.2109242809e-06
1800 1 0.18 0 0.25 0 0.00143073507611 2.97362957828e-06
1800 1 0.1 0 0.25 0 0.000455025501595 7.18870270719e-07
1800 1 0.1 0.1 0.125 0.125 0.000842331799478 3.85503523846e-06
1800 1 0.225 0 0.25 0 0.00218311535472 5.26209200535e-06
1800 1 0.25 0 0.25 0 0.00265468789009 6.88992312728e-06
1800 1 0.25 0.25 0.125 0.125 0.00411826543242 5.59307492278e-05
1800 1 0.275 0 0.25 0 0.0031597118625 8.76512827415e-06
1800 1 0.2 0 0.25 0 0.00174882694214 3.88988743829e-06
1800 1 0.2 0.2 0.125 0.125 0.00290733533375 3.18064025797e-05
1800 1 0.35 0.35 0.125 0.125 0.00645880860482 0.000105372128805
1800 1 0.3 0 0.25 0 0.0036942911469 1.086632366e-05
1800 1 0.3 0.3 0.125 0.125 0.00532159847888 8.18509499886e-05
1800 1 0.45 0.45 0.125 0.125 0.00842904435379 0.000136587176257
1800 1 0.4 0 0.25 0 0.0060515475054 2.0698527791e-05
1800 1 0.55 0.55 0.125 0.125 0.00997458150092 0.000147840400148
1800 1 0.5 0 0.25 0 0.00859193089928 3.00346864477e-05
1800 1 0.5 0.5 0.005 0.005 2.61838458709e-05 3.75227376911e-08
1800 1 0.5 0.5 0.015 0.015 0.000233357826098 4.7537257669e-07
1800 1 0.5 0.5 0.025 0.025 0.000635819215528 2.01763405635e-06
1800 1 0.5 0.5 0.035 0.035 0.00121144097707 5.70886051467e-06
1800 1 0.5 0.5 0.05 0.05 0.00233389635325 1.73200033053e-05
1800 1 0.5 0.5 0.06 0.06 0.00320585420521 2.96738748505e-05
1800 1 0.5 0.5 0.07 0.07 0.00413795545706 4.5336392331e-05
1800 1 0.5 0.5 0.08 0.08 0.00510037354208 6.33859761461e-05
1800 1 0.5 0.5 0.09 0.09 0.00606794583602 8.26327896483e-05
1800 1 0.5 0.5 0.1125 0.1125 0.00816875432739 0.000124422420138
1800 1 0.5 0.5 0.125 0.125 0.0092517708384 0.00014412186335
1800 1 0.5 0.5 0.1375 0.1375 0.0102595967865 0.000160486980112
1800 1 0.5 0.5 0.15 0.15 0.0111885397081 0.000173705182032
1800 1 0.5 0.5 0.1 0.1 0.00702072548061 0.00010187743043
1800 1 0.5 0.5 0.25 0.25 0.0161884207716 0.000266902435416
1800 1 0.5 0.5 0.2 0.2 0.014161539986 0.000211104583235
1800 1 0.5 0.5 0.375 0.375 0.0190538420542 0.000679419562738
1800 1 0.5 0.5 0.5 0.5 0.0207252187544 0.00153492664751
1800 1 0.65 0.65 0.125 0.125 0.0111638003972 0.000150094798585
1800 1 0.6 0 0.25 0 0.0111371042379 3.54279142148e-05
1800 1 0.7 0 0.25 0 0.0135693748744 3.55364669097e-05
1800 1 0.8 0.8 0.125 0.125 0.01246038271 0.000159315573955
1800 1 0.9 0 0.25 0 0.0178717727836 2.73001734739e-05
1800 1 1.0 0 0.01 0 5.46367457484e-05 7.35952554958e-08
1800 1 1.0 0 0.03 0 0.000487065389223 7.06010819189e-07
1800 1 1.0 0 0.05 0 0.00132778791501 2.16196934537e-06
1800 1 1.0 0 0.07 0 0.00253191294179 4.65395722329e-06
1800 1 1.0 0 0.12 0 0.00672250475269 1.46634244518e-05
1800 1 1.0 0 0.14 0 0.00869314195012 1.88087751444e-05
1800 1 1.0 0 0.16 0 0.0107378542265 2.20418984439e-05
1800 1 1.0 0 0.18 0 0.0128052461897 2.39900170161e-05
1800 1 1.0 0 0.1 0 0.00488645849675 1.02640103694e-05
1800 1 1.0 0 0.225 0 0.0173420507384 2.4951308833e-05
1800 1 1.0 0 0.275 0 0.0219354702379 3.22237124965e-05
1800 1 1.0 0 0.2 0 0.0148540595986 2.47384556088e-05
1800 1 1.0 0 0.3 0 0.0240053950056 4.56276085963e-05
1800 1 1.0 0 0.4 0 0.030788507404 0.000238839648892
1800 1 1.0 0 0.5 0 0.0356676343681 0.000763135792095
1800 1 1.0 0 0.75 0 0.0432828617905 0.00382807482693
1800 1 1.0 0 1 0 0.046798588318 0.00873427394888
1800 1 1.0 1.0 0.125 0.125 0.0136011392494 0.000210688489623
1800 1 1.1 0 0.25 0 0.0213503122772 3.32758575272e-05
1800 1 1.3 0 0.25 0 0.0241046080455 8.33329960656e-05
1800 1 1.6 0 0.25 0 0.0272307394263 0.000281469977193
1800 1 2.0 0 0.25 0 0.0302240961021 0.000814950723205
