med dm gdmv gdma gv ga xsec unc
1030 1230 1 0 0.25 0 9.4475121e-06 1.4500438e-08
1030 1230 0 0.1 0 0.25 2.16380003995e-08 3.62576220114e-11
1030 1230 0 0.25 0 0.25 1.35237502497e-07 2.48024281549e-10
1030 1230 0 0.5 0 0.25 5.40950009987e-07 1.29801346873e-09
1030 1230 0 1.0 0 0.1 3.46210306807e-07 7.36755192134e-10
1030 1230 0 1.0 0 0.25 2.16380003995e-06 1.00867153555e-08
1030 1230 0 1.0 0 0.5 8.65431496571e-06 1.1865778087e-07
1030 1230 0 1.0 0 1 3.45607353191e-05 1.72697984956e-06
1030 1230 0 2.0 0 0.25 8.6552001598e-06 1.18661445111e-07
1030 1230 0.05 0.05 0.05 0.05 2.26598893566e-09 3.70707007273e-12
1030 1230 0.05 0.05 0.125 0.125 1.41624007649e-08 2.33474332716e-11
1030 1230 0.05 0.05 0.25 0.25 5.66477507393e-08 9.59336765722e-11
1030 1230 0.05 0.05 0.5 0.5 2.26472535686e-07 4.24266035899e-10
1030 1230 0.05 0.05 1.0 1.0 8.98390432968e-07 2.32951259712e-09
1030 1230 0.125 0.125 0.05 0.05 1.41624308479e-08 2.33474825623e-11
1030 1230 0.125 0.125 0.125 0.125 8.85150047805e-08 1.52886076497e-10
1030 1230 0.125 0.125 0.25 0.25 3.54048442121e-07 7.11015788044e-10
1030 1230 0.125 0.125 0.5 0.5 1.41545334804e-06 4.43363011066e-09
1030 1230 0.125 0.125 1.0 1.0 5.61494020605e-06 4.28392062984e-08
1030 1230 0.1 0 0.25 0 9.108035092e-08 1.4500438e-10
1030 1230 0.25 0 0.25 0 5.6925219325e-07 9.06277375e-10
1030 1230 0.25 0.25 0.05 0.05 5.66497233915e-08 9.59369960741e-11
1030 1230 0.25 0.25 0.125 0.125 3.54060019122e-07 7.11038856691e-10
1030 1230 0.25 0.25 0.25 0.25 1.41619376848e-06 4.43592471601e-09
1030 1230 0.25 0.25 0.5 0.5 5.66181339216e-06 4.31911973896e-08
1030 1230 0.25 0.25 1.0 1.0 2.24597608242e-05 5.75353290428e-07
1030 1230 0.5 0 0.25 0 2.277008773e-06 3.6251095e-09
1030 1230 0.5 0.5 0.05 0.05 2.26598893566e-07 4.24501037493e-10
1030 1230 0.5 0.5 0.125 0.125 1.41624007649e-06 4.43606823804e-09
1030 1230 0.5 0.5 0.25 0.25 5.66477507393e-06 4.32134838853e-08
1030 1230 0.5 0.5 0.5 0.5 2.26472535686e-05 5.8007162071e-07
1030 1230 0.5 0.5 1.0 1.0 8.98390432968e-05 8.76535660547e-06
1030 1230 1.0 0 0.1 0 1.45729882683e-06 2.32009081552e-09
1030 1230 1.0 0 0.5 0 3.64270565594e-05 5.79937902566e-08
1030 1230 1.0 0 1 0 0.000145383778527 2.3154348861e-07
1030 1230 1.0 1.0 0.05 0.05 9.06395574264e-07 2.35005300112e-09
1030 1230 1.0 1.0 0.125 0.125 5.66496030595e-06 4.32148779326e-08
1030 1230 1.0 1.0 0.25 0.25 2.26591002957e-05 5.80370495882e-07
1030 1230 1.0 1.0 0.5 0.5 9.05890142746e-05 8.83719578126e-06
1030 1230 1.0 1.0 1.0 1.0 0.000359356173187 0.000138484521522
1030 1230 2.0 0 0.25 0 3.6432140368e-05 5.8001752e-08
