med dm gdmv gdma gv ga xsec unc
500 300 1 0 0.25 0 0.050045303 6.3374655e-05
500 300 0 0.01 0 0.01 1.86648643295e-09 2.51541387373e-12
500 300 0 0.01 0 0.05 4.66621431413e-08 6.28861971591e-11
500 300 0 0.01 0 0.1 1.86647509928e-07 2.51554309571e-10
500 300 0 0.01 0 0.2 7.46522044728e-07 1.00630244862e-09
500 300 0 0.01 0 0.25 1.16627742673e-06 1.57233742905e-09
500 300 0 0.01 0 0.3 1.67901232458e-06 2.26396410151e-09
500 300 0 0.01 0 0.5 4.64864465629e-06 6.27452432069e-09
500 300 0 0.01 0 0.75 1.03049404065e-05 1.39406919614e-08
500 300 0 0.01 0 1 1.76540985605e-05 2.39789210631e-08
500 300 0 0.05 0 0.01 4.66621608238e-08 6.28862204398e-11
500 300 0 0.05 0 0.05 1.16655357853e-06 1.57270092689e-09
500 300 0 0.05 0 0.1 4.66618774821e-06 6.29759373379e-09
500 300 0 0.05 0 0.2 1.86630511182e-05 2.52973442865e-08
500 300 0 0.05 0 0.25 2.91569356682e-05 3.96497298238e-08
500 300 0 0.05 0 0.3 4.19753081145e-05 5.73069109338e-08
500 300 0 0.05 0 0.5 0.000116216116407 1.62334492207e-07
500 300 0 0.05 0 0.75 0.000257623510163 3.76426426939e-07
500 300 0 0.05 0 1 0.000441352464013 6.88975299394e-07
500 300 0 0.1 0 0.01 1.86648643295e-07 2.51555801715e-10
500 300 0 0.1 0 0.05 4.66621431413e-06 6.29762868141e-09
500 300 0 0.1 0 0.1 1.86647509928e-05 2.52995748667e-08
500 300 0 0.1 0 0.2 7.46522044728e-05 1.02936665531e-07
500 300 0 0.1 0 0.25 0.000116627742673 1.62865095516e-07
500 300 0 0.1 0 0.3 0.000167901232458 2.38075248686e-07
500 300 0 0.1 0 0.5 0.000464864465629 7.17730271197e-07
500 300 0 0.1 0 0.75 0.00103049404065 1.85456980657e-06
500 300 0 0.1 0 1 0.00176540985605 3.87467960779e-06
500 300 0 0.25 0 0.01 1.1665540206e-06 1.57270150879e-09
500 300 0 0.25 0 0.05 2.91638394633e-05 3.96587718652e-08
500 300 0 0.25 0 0.1 0.000116654693705 1.62899839919e-07
500 300 0 0.25 0 0.2 0.000466576277955 7.19798026436e-07
500 300 0 0.25 0 0.25 0.000728923391706 1.20455205661e-06
500 300 0 0.25 0 0.3 0.00104938270286 1.87505302089e-06
500 300 0 0.25 0 0.5 0.00290540291018 7.47797742366e-06
500 300 0 0.25 0 0.75 0.00644058775408 2.6853865614e-05
500 300 0 0.25 0 1 0.0110338116003 7.31633029954e-05
500 300 0 0.2 0 0.01 7.46594573181e-07 1.00639792615e-09
500 300 0 0.2 0 0.05 1.86648572565e-05 2.52997143074e-08
500 300 0 0.2 0 0.1 7.46590039713e-05 1.0294549837e-07
500 300 0 0.2 0 0.2 0.000298608817891 4.39703276293e-07
500 300 0 0.2 0 0.25 0.000466510970692 7.19719201587e-07
500 300 0 0.2 0 0.3 0.000671604929832 1.09386267396e-06
500 300 0 0.2 0 0.5 0.00185945786252 3.96519792271e-06
500 300 0 0.2 0 0.75 0.00412197616261 1.30001048072e-05
500 300 0 0.2 0 1 0.00706163942421 3.33991729945e-05
500 300 0 0.3 0 0.01 1.67983778966e-06 2.2650505312e-09
500 300 0 0.3 0 0.05 4.19959288272e-05 5.73338556232e-08
500 300 0 0.3 0 0.1 0.000167982758936 2.38179367223e-07
500 300 0 0.3 0 0.2 0.000671869840255 1.09416967479e-06
500 300 0 0.3 0 0.25 0.00104964968406 1.87533877679e-06
500 300 0 0.3 0 0.3 0.00151111109212 2.99204731346e-06
500 300 0 0.3 0 0.5 0.00418378019066 1.30252334683e-05
500 300 0 0.3 0 0.75 0.00927444636587 5.0182081745e-05
500 300 0 0.3 0 1 0.0158886887045 0.00014227484385
500 300 0 0.5 0 0.01 4.66621608238e-06 6.29763100756e-09
500 300 0 0.5 0 0.05 0.000116655357853 1.62900696123e-07
500 300 0 0.5 0 0.1 0.000466618774821 7.19849316857e-07
500 300 0 0.5 0 0.2 0.00186630511182 3.97124734668e-06
500 300 0 0.5 0 0.25 0.00291569356682 7.48456836414e-06
500 300 0 0.5 0 0.3 0.00419753081145 1.30299651778e-05
500 300 0 0.5 0 0.5 0.0116216116407 7.26570986757e-05
500 300 0 0.5 0 0.75 0.0257623510163 0.000325455524213
500 300 0 0.5 0 1 0.0441352464013 0.000991889718364
500 300 0 0.7 0 0.01 9.14578352147e-06 1.23604792656e-08
500 300 0 0.7 0 0.05 0.000228644501392 3.29986923413e-07
500 300 0 0.7 0 0.1 0.000914572798649 1.58213015361e-06
500 300 0 0.7 0 0.2 0.00365795801917 1.0523392988e-05
500 300 0 0.7 0 0.25 0.00571475939097 2.13591183072e-05
500 300 0 0.7 0 0.3 0.00822716039044 3.94117763115e-05
500 300 0 0.7 0 0.5 0.0227783588158 0.00024964704352
500 300 0 0.7 0 0.75 0.050494207992 0.00118491173439
500 300 0 0.7 0 1 0.0865050829466 0.00369834839521
500 300 0 0.9 0 0.01 1.51185401069e-05 2.04703683574e-08
500 300 0 0.9 0 0.05 0.000377963359445 5.69075697342e-07
500 300 0 0.9 0 0.1 0.00151184483042 2.99275297226e-06
500 300 0 0.9 0 0.2 0.0060468285623 2.34344415587e-05
500 300 0 0.9 0 0.25 0.00944684715651 5.00518352802e-05
500 300 0 0.9 0 0.3 0.0135999998291 9.57274019189e-05
500 300 0 0.9 0 0.5 0.0376540217159 0.000649045644442
500 300 0 0.9 0 0.75 0.0834700172928 0.00316440596806
500 300 0 0.9 0 1 0.14299819834 0.00998009451246
500 300 0 1.0 0 0.01 1.86648643295e-05 2.52997235887e-08
500 300 0 1.0 0 0.05 0.000466621431413 7.19852523089e-07
500 300 0 1.0 0 0.1 0.00186647509928 3.97139658232e-06
500 300 0 1.0 0 0.2 0.00746522044728 3.33578732417e-05
500 300 0 1.0 0 0.25 0.0116627742673 7.26000356596e-05
500 300 0 1.0 0 0.3 0.0167901232458 0.00014059591022
500 300 0 1.0 0 0.5 0.0464864465629 0.000974551418401
500 300 0 1.0 0 0.75 0.103049404065 0.00479046308496
500 300 0 1.0 0 1 0.176540985605 0.0151553429756
500 300 0 1.1 0 0.01 2.25844858387e-05 3.06496623527e-08
500 300 0 1.1 0 0.05 0.00056461193201 8.94144564375e-07
500 300 0 1.1 0 0.1 0.00225843487013 5.17535923249e-06
500 300 0 1.1 0 0.2 0.00903291674121 4.62828396725e-05
500 300 0 1.1 0 0.25 0.0141119568634 0.000102299848183
500 300 0 1.1 0 0.3 0.0203160491274 0.000200096736939
500 300 0 1.1 0 0.5 0.0562486003411 0.00141092033669
500 300 0 1.1 0 0.75 0.124689778919 0.00697841189958
500 300 0 1.1 0 1 0.213614592582 0.0221283862542
500 300 0 1.3 0 0.01 3.15436207169e-05 4.29263163384e-08
500 300 0 1.3 0 0.05 0.000788590219088 1.32266545759e-06
500 300 0 1.3 0 0.1 0.00315434291779 8.40950075891e-06
500 300 0 1.3 0 0.2 0.0126162225559 8.35416455961e-05
500 300 0 1.3 0 0.25 0.0197100885117 0.000189024568138
500 300 0 1.3 0 0.3 0.0283753082854 0.000375169650047
500 300 0 1.3 0 0.5 0.0785620946913 0.00271035541434
500 300 0 1.3 0 0.75 0.17415349287 0.0135200216219
500 300 0 1.3 0 1 0.298354265673 0.0430072963507
500 300 0 1.6 0 0.01 4.77820526836e-05 6.5348758196e-08
500 300 0 1.6 0 0.05 0.00119455086442 2.20623866719e-06
500 300 0 1.6 0 0.1 0.00477817625417 1.59814532027e-05
500 300 0 1.6 0 0.2 0.019110964345 0.00017843576745
500 300 0 1.6 0 0.25 0.0298567021243 0.000413021442668
500 300 0 1.6 0 0.3 0.0429827155092 0.000831042798585
500 300 0 1.6 0 0.5 0.119005303201 0.00613660494769
500 300 0 1.6 0 0.75 0.263806474407 0.030839901031
500 300 0 1.6 0 1 0.45194492315 0.0983703908044
500 300 0 2.0 0 0.01 7.46594573181e-05 1.0294608729e-07
500 300 0 2.0 0 0.05 0.00186648572565 3.97140590991e-06
500 300 0 2.0 0 0.1 0.00746590039713 3.33575753675e-05
500 300 0 2.0 0 0.2 0.0298608817891 0.000412997634646
500 300 0 2.0 0 0.25 0.0466510970692 0.000972988337888
500 300 0 2.0 0 0.3 0.0671604929832 0.00197800043301
500 300 0 2.0 0 0.5 0.185945786252 0.0148409740528
500 300 0 2.0 0 0.75 0.412197616261 0.0749801081496
500 300 0 2.0 0 1 0.706163942421 0.239625917536
500 300 0.005 0.005 0.005 0.005 1.15125533849e-09 1.57378218945e-12
500 300 0.005 0.005 0.025 0.025 2.87813783722e-08 3.93448092748e-11
500 300 0.005 0.005 0.05 0.05 1.15125207604e-07 1.57382101364e-10
500 300 0.005 0.005 0.15 0.15 1.03589204543e-06 1.41644453459e-09
500 300 0.005 0.005 0.1 0.1 4.60481255353e-07 6.29554991935e-10
500 300 0.005 0.005 0.25 0.25 2.87305638856e-06 3.93050864503e-09
500 300 0.005 0.005 0.375 0.375 6.4186570439e-06 8.7912149598e-09
500 300 0.005 0.005 0.5 0.5 1.12018760697e-05 1.5372440409e-08
500 300 0.005 0.005 1.0 1.0 3.38411219915e-05 4.7404411212e-08
500 300 0.01 0 0.01 0 7.50624453453e-09 1.01449000281e-11
500 300 0.01 0 0.05 0 1.87655971416e-07 2.53622302648e-10
500 300 0.01 0 0.1 0 7.50615355354e-07 1.0144773084e-09
500 300 0.01 0 0.25 0 4.6891831378e-06 6.3374655e-09
500 300 0.01 0 0.2 0 3.00191566018e-06 4.05714774942e-09
500 300 0.01 0 0.3 0 6.74899779802e-06 9.12117066112e-09
500 300 0.01 0 0.5 0 1.86252336907e-05 2.51664947242e-08
500 300 0.01 0 0.75 0 4.07005304196e-05 5.49478158943e-08
500 300 0.01 0 1 0 6.74554538861e-05 9.0935182639e-08
500 300 0.025 0.025 0.005 0.005 2.87813834621e-08 3.93448159446e-11
500 300 0.025 0.025 0.025 0.025 7.19534459304e-07 9.83783486996e-10
500 300 0.025 0.025 0.05 0.05 2.87813019009e-06 3.93716460544e-09
500 300 0.025 0.025 0.15 0.15 2.58973011357e-05 3.56226173975e-08
500 300 0.025 0.025 0.1 0.1 1.15120313838e-05 1.57806652064e-08
500 300 0.025 0.025 0.25 0.25 7.1826409714e-05 9.98908483329e-08
500 300 0.025 0.025 0.375 0.375 0.000160466426097 2.27934912491e-07
500 300 0.025 0.025 0.5 0.5 0.000280046901742 4.0940420589e-07
500 300 0.025 0.025 1.0 1.0 0.000846028049788 1.49314235529e-06
500 300 0.05 0 0.01 0 1.87656113363e-07 2.53622500706e-10
500 300 0.05 0 0.05 0 4.6913992854e-06 6.34055756878e-09
500 300 0.05 0 0.1 0 1.87653838839e-05 2.53619327491e-08
500 300 0.05 0 0.25 0 0.000117229578445 1.584366375e-07
500 300 0.05 0 0.2 0 7.50478915045e-05 1.01428693965e-07
500 300 0.05 0 0.3 0 0.000168724944951 2.28029270359e-07
500 300 0.05 0 0.5 0 0.000465630842269 6.29167930962e-07
500 300 0.05 0 0.75 0 0.00101751326049 1.37437614908e-06
500 300 0.05 0 1 0 0.00168638634715 2.28829768096e-06
500 300 0.05 0.05 0.005 0.005 1.15125533849e-07 1.57382528882e-10
500 300 0.05 0.05 0.025 0.025 2.87813783722e-06 3.93717463705e-09
500 300 0.05 0.05 0.05 0.05 1.15125207604e-05 1.57813093133e-08
500 300 0.05 0.05 0.15 0.15 0.000103589204543 1.45134269999e-07
500 300 0.05 0.05 0.1 0.1 4.60481255353e-05 6.36450409255e-08
500 300 0.05 0.05 0.25 0.25 0.000287305638856 4.1991504592e-07
500 300 0.05 0.05 0.375 0.375 0.00064186570439 1.01367138116e-06
500 300 0.05 0.05 0.5 0.5 0.00112018760697 1.95128176939e-06
500 300 0.05 0.05 1.0 1.0 0.00338411219915 9.82297035862e-06
500 300 0.125 0.125 0.005 0.005 7.19534586553e-07 9.83783653784e-10
500 300 0.125 0.125 0.025 0.025 1.79883614826e-05 2.46966216282e-08
500 300 0.125 0.125 0.05 0.05 7.19532547523e-05 1.00061659714e-07
500 300 0.125 0.125 0.15 0.15 0.000647432528393 1.02275545537e-06
500 300 0.125 0.125 0.1 0.1 0.000287800784596 4.2063563516e-07
500 300 0.125 0.125 0.25 0.25 0.00179566024285 3.51485383773e-06
500 300 0.125 0.125 0.375 0.375 0.00401166065244 1.07949593722e-05
500 300 0.125 0.125 0.5 0.5 0.00700117254354 2.59183524388e-05
500 300 0.125 0.125 1.0 1.0 0.0211507012447 0.000229848605755
500 300 0.15 0.15 0.005 0.005 1.03612980464e-06 1.41675620986e-09
500 300 0.15 0.15 0.025 0.025 2.5903240535e-05 3.56304778837e-08
500 300 0.15 0.15 0.05 0.05 0.000103612686843 1.4516626941e-07
500 300 0.15 0.15 0.15 0.15 0.000932302840886 1.56001326921e-06
500 300 0.15 0.15 0.1 0.1 0.000414433129818 6.2295385793e-07
500 300 0.15 0.15 0.25 0.25 0.0025857507497 5.73299406173e-06
500 300 0.15 0.15 0.375 0.375 0.00577679133951 1.89084886255e-05
500 300 0.15 0.15 0.5 0.5 0.0100816884627 4.76733707243e-05
500 300 0.15 0.15 1.0 1.0 0.0304570097924 0.000458045223222
500 300 0.1 0 0.01 0 7.50624453453e-07 1.01449000288e-09
500 300 0.1 0 0.05 0 1.87655971416e-05 2.53622303073e-08
500 300 0.1 0 0.1 0 7.50615355354e-05 1.01447731486e-07
500 300 0.1 0 0.25 0 0.00046891831378 6.3374655e-07
500 300 0.1 0 0.2 0 0.000300191566018 4.05714778735e-07
500 300 0.1 0 0.3 0 0.000674899779802 9.12117129327e-07
500 300 0.1 0 0.5 0 0.00186252336907 2.51674125954e-06
500 300 0.1 0 0.75 0 0.00407005304196 5.50601399287e-06
500 300 0.1 0 1 0 0.00674554538861 9.33966716118e-06
500 300 0.1 0.1 0.005 0.005 4.60502135394e-07 6.29582357181e-10
500 300 0.1 0.1 0.025 0.025 1.15125513489e-05 1.57813495732e-08
500 300 0.1 0.1 0.05 0.05 4.60500830415e-05 6.36476515183e-08
500 300 0.1 0.1 0.15 0.15 0.000414356818171 6.22837886531e-07
500 300 0.1 0.1 0.1 0.1 0.000184192502141 2.62938245302e-07
500 300 0.1 0.1 0.25 0.25 0.00114922255542 2.00528662509e-06
500 300 0.1 0.1 0.375 0.375 0.00256746281756 5.68559322382e-06
500 300 0.1 0.1 0.5 0.5 0.00448075042787 1.28237662109e-05
